feed_id,from_stop_uid,source_from_stop_id,to_stop_uid,source_to_stop_id,transfer_type,min_transfer_time
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:131,131,mnr:131,131,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
mnr,mnr:140,140,mnr:140,140,1,
