agency,service_name,route_name,train_number,direction,station_id,station_name,station_sequence,arrival_time,departure_time,service_start_date,service_end_date,service_dates,service_days,timetable_effective_date,timetable_last_updated_date,timetable_revision_date,source_original_filename,source_pdf,source_page,raw_notes
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1538,From Grand Central,TMH,Talmadge Hill,6,16:09,16:09,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central; C
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1538,From Grand Central,NCN,New Canaan,7,16:16,16:16,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central; C
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1586,From Grand Central,GLB,Glenbrook,1,22:02,22:02,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1586,From Grand Central,SPD,Springdale,2,22:05,22:05,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1586,From Grand Central,TMH,Talmadge Hill,3,22:09,22:09,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1586,From Grand Central,NCN,New Canaan,4,22:16,22:16,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1590,From Grand Central,GCT,Grand Central,1,22:07,22:07,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1590,From Grand Central,STM,Stamford,2,22:10,,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1590,From Grand Central,STM,Stamford,3,,22:58,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1590,From Grand Central,GLB,Glenbrook,4,23:02,23:02,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1590,From Grand Central,SPD,Springdale,5,23:05,23:05,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1590,From Grand Central,TMH,Talmadge Hill,6,23:09,23:09,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1590,From Grand Central,NCN,New Canaan,7,23:16,23:16,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1594,From Grand Central,GCT,Grand Central,1,23:28,23:28,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1594,From Grand Central,STM,Stamford,2,12:12,,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1594,From Grand Central,STM,Stamford,3,,12:20,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1594,From Grand Central,GLB,Glenbrook,4,12:24,12:24,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1594,From Grand Central,SPD,Springdale,5,12:27,12:27,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1594,From Grand Central,TMH,Talmadge Hill,6,12:31,12:31,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1594,From Grand Central,NCN,New Canaan,7,12:38,12:38,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1598,From Grand Central,GCT,Grand Central,1,00:07,00:07,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1598,From Grand Central,STM,Stamford,2,00:12,,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1707,To Grand Central,NCN,New Canaan,1,05:30,05:30,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,Metro-North
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1707,To Grand Central,TMH,Talmadge Hill,2,05:34,05:34,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,To Grand Central
