agency,service_name,route_name,train_number,direction,station_id,station_name,station_sequence,arrival_time,departure_time,service_start_date,service_end_date,service_dates,service_days,timetable_effective_date,timetable_last_updated_date,timetable_revision_date,source_original_filename,source_pdf,source_page,raw_notes
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1530,From Grand Central,RDG,Redding,9,14:50,14:50,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1530,From Grand Central,BTH,Bethel,10,14:57,14:57,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1530,From Grand Central,DAN,Danbury,11,15:08,15:08,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1538,From Grand Central,GCT,Grand Central,1,15:05,15:05,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1538,From Grand Central,STM,Stamford,2,,15:54,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1538,From Grand Central,SONO,South Norwalk,3,16:09,,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1538,From Grand Central,SONO,South Norwalk,4,,16:15,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1538,From Grand Central,MRT7,Merritt 7,5,16:25,16:25,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1538,From Grand Central,WILTON,Wilton,6,16:31,16:31,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1538,From Grand Central,CND,Cannondale,7,16:35,16:35,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1538,From Grand Central,BVL,Branchville,8,16:41,16:41,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1538,From Grand Central,RDG,Redding,9,16:49,16:49,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1538,From Grand Central,BTH,Bethel,10,16:56,16:56,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
