from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246130524613051+2287253+0,246130524613051+2286318+0,1,
33,33,,,246129224612942+2287255+0,246129224612942+2286320+0,1,
33,33,,,246129224612944+2287255+0,246129224612944+2286320+0,1,
33,33,,,246129724612977+2287261+0,246129724612977+2286856+0,1,
33,33,,,246127524612756+2287274+0,246127524613666+2286877+0,1,
33,33,,,246128924612966+2287274+0,246127524613666+2286877+0,1,
33,33,,,246129024612907+2287278+0,246129024612907+2286879+0,1,
33,33,,,246128224612826+2287294+0,246128224613666+2286896+0,1,
33,33,,,246129724612977+2287325+0,246129724613607+2286917+0,1,
33,33,,,246129724613607+2287332+0,246130424613607+2286927+0,1,
33,33,,,246128424612872+2287345+0,246128424612872+2286337+0,1,
33,33,,,246128424612873+2287345+0,246128424612873+2286337+0,1,
33,33,,,246129824613013+2287345+0,246129824613013+2286337+0,1,
33,33,,,246129524612955+2287346+0,246129524612955+2286341+0,1,
33,33,,,246131624613655+2287349+0,246131624613655+2286342+0,1,
33,33,,,246128424612872+2287359+0,246128424612872+2286349+0,1,
33,33,,,246127824612814+2287360+0,246127824612804+2286351+0,1,
33,33,,,246127824612815+2287360+0,246127424612815+2286350+0,1,
33,33,,,246128824612885+2287361+0,246128824612885+2286352+0,1,
33,33,,,246127124612744+2287363+0,246127124612734+2286362+0,1,
33,33,,,246127724612885+2287363+0,246127424613655+2286363+0,1,
33,33,,,246127724612881+2287363+0,246128424612871+2286362+0,1,
33,33,,,246129824613654+2287363+0,246131224613644+2286362+0,1,
33,33,,,246127124612742+2286397+0,246127124612742+2285930+1,1,
33,33,,,246127724612885+2286397+0,246127724612885+2285930+1,1,
33,33,,,246129824613014+2286403+1,246129824613014+2285939+1,1,
33,33,,,246131224613642+2286403+1,246131224613642+2285939+1,1,
33,33,,,246127424612815+2286404+1,246127424612815+2285940+1,1,
33,33,,,246130624613084+2286405+1,246130624613084+2285941+1,1,
33,33,,,246128824613025+2286406+1,246128824613025+2285942+1,1,
33,33,,,246128424612871+2286415+1,246128424612871+2285972+1,1,
33,33,,,246129824613012+2286415+1,246129824613012+2285972+1,1,
33,33,,,246128424612872+2286415+1,246127724612882+2285945+1,1,
33,33,,,246128424612874+2286415+1,246127724612884+2285945+1,1,
33,33,,,246129824613011+2286415+1,246129824613651+2285945+1,1,
33,33,,,246129824613013+2286415+1,246129824613653+2285945+1,1,
33,33,,,246131224613642+2286415+1,246129824613652+2285945+1,1,
33,33,,,246131224613644+2286415+1,246129824613654+2285945+1,1,
33,33,,,246127424612815+2286416+1,246127424612815+2285973+1,1,
33,33,,,246130624613083+2286417+1,246130624613083+2285974+1,1,
33,33,,,246127824612802+2286417+1,246127724612882+2285945+1,1,
33,33,,,246129824613012+2286425+1,246129824613642+2285988+1,1,
33,33,,,246127824612803+2286427+1,246127724612873+2285988+1,1,
33,33,,,246129224612942+2286427+1,246129224612942+2285988+1,1,
33,33,,,246127724612874+2286429+1,246127824612804+2286019+1,1,
33,33,,,246129824613641+2286429+1,246130524613051+2286017+1,1,
33,33,,,246129824613643+2286429+1,246130624613083+2286019+1,1,
