route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
87,51,,Texas Eagle,2,https://www.amtrak.com/texas-eagle-train,CAE4F1,000000
90,51,,Vermonter,2,https://www.amtrak.com/vermonter-train,CAE4F1,000000
94,51,,Keystone Service,2,https://www.amtrak.com/keystone-service-train,CAE4F1,000000
95,51,,Adirondack,2,https://www.amtrak.com/adirondack-train,CAE4F1,000000
96,51,,California Zephyr,2,https://www.amtrak.com/california-zephyr-train,CAE4F1,000000
36948,51,,Missouri River Runner,2,https://www.amtrak.com/missouri-river-runner-train,CAE4F1,000000
36949,51,,Ethan Allen Express,2,https://www.amtrak.com/ethan-allen-express-train,CAE4F1,000000
36924,51,,Coast Starlight,2,https://www.amtrak.com/coast-starlight-train,CAE4F1,000000
36926,51,,Lincoln Service Missouri River Runner,2,https://www.amtrak.com/illinois-services-train,CAE4F1,000000
36930,51,,Sunset Limited,2,https://www.amtrak.com/sunset-limited-train,CAE4F1,000000
40751,51,,Acela,2,http://www.amtrak.com/acela-train,CAE4F1,000000
41042,51,,Amtrak Hartford Line,2,https://www.amtrak.com/amtrak-hartford-line-train,CAE4F1,000000
41044,51,,Valley Flyer,2,https://www.amtrak.com/valley-flyer-train,CAE4F1,000000
42946,51,,City of New Orleans,2,http://www.amtrak.com,CAE4F1,000000
42947,51,,Silver Meteor,2,http://www.amtrak.com,CAE4F1,000000
42948,1230,,Commuter Rail,2,http://www.amtrak.com,CAE4F1,000000
42951,51,,Lincoln Service,2,http://www.amtrak.com,CAE4F1,000000
42954,1232,,Amtrak Thruway Connecting Service,3,http://www.amtrak.com,CAE4F1,000000
42956,51,,Blue Water,2,http://www.amtrak.com,CAE4F1,000000
42957,51,,Illinois Zephyr,2,http://www.amtrak.com,CAE4F1,000000
42958,1233,,Amtrak Thruway Connecting Service,3,http://www.amtrak.com,CAE4F1,000000
42985,1238,,Commuter Rail,2,http://www.amtrak.com,CAE4F1,000000
42991,51,,Borealis,2,http://www.amtrak.com,CAE4F1,000000
42992,51,,Berkshire Flyer,2,http://www.amtrak.com,CAE4F1,000000
42994,51,,Floridian,2,http://www.amtrak.com,CAE4F1,000000
42996,51,,Amtrak Mardi Gras Service,2,http://www.amtrak.com,CAE4F1,000000
