stop_id,stop_code,stop_name,stop_url,stop_timezone,stop_lat,stop_lon
CLT,CLT,Charlotte Amtrak Station,https://www.amtrak.com/stations/clt,America/New_York,35.241403,-80.822812
CLV,CLV,Cloverdale Amtrak Bus Stop,https://www.amtrak.com/stations/clv,America/Los_Angeles,38.79811,-123.011847
CML,CML,Camarillo Amtrak,https://www.amtrak.com/stations/cml,America/Los_Angeles,34.215933,-119.034114
CMO,CMO,Chemult,https://www.amtrak.com/stations/cmo,America/Los_Angeles,43.216784,-121.781594
CNV,CNV,Castleton Amtrak Station,https://www.amtrak.com/stations/cnv,America/New_York,43.613382,-73.171337
COI,COI,Connersville Amtrak,https://www.amtrak.com/stations/coi,America/New_York,39.645969,-85.13338
COT,COT,Coatesville Amtrak,https://www.amtrak.com/stations/cot,America/New_York,39.985688,-75.820929
COV,COV,Connellsville Amtrak,https://www.amtrak.com/stations/cov,America/New_York,40.020282,-79.592813
COX,COX,Colfax Amtrak Station,https://www.amtrak.com/stations/cox,America/Los_Angeles,39.099172,-120.953075
CPN,CPN,Carpinteria Amtrak,https://www.amtrak.com/stations/cpn,America/Los_Angeles,34.39678,-119.522975
CRF,CRF,Crawfordsville Amtrak,https://www.amtrak.com/stations/crf,America/New_York,40.044705,-86.899187
CRM,CRM,Carmel Amtrak Bus Stop,https://www.amtrak.com/stations/crm,America/Los_Angeles,36.539033,-121.908797
CRN,CRN,Creston Amtrak,https://www.amtrak.com/stations/crn,America/Chicago,41.05692,-94.361617
CRT,CRT,Croton-Harmon Amtrak Station,https://www.amtrak.com/stations/crt,America/New_York,41.189903,-73.882394
CRV,CRV,Carlinville Amtrak Station,https://www.amtrak.com/stations/crv,America/Chicago,39.279295,-89.889276
CSN,CSN,Clemson Amtrak Station,https://www.amtrak.com/stations/csn,America/New_York,34.691115,-82.832501
CTL,CTL,Centralia Amtrak Station,https://www.amtrak.com/stations/ctl,America/Los_Angeles,46.71747,-122.953062
CUM,CUM,Cumberland Amtrak Station,https://www.amtrak.com/stations/cum,America/New_York,39.650628,-78.758
CUT,CUT,Cut Bank Amtrak Station,https://www.amtrak.com/stations/cut,America/Denver,48.638364,-112.331584
CVS,CVS,Charlottesville,https://www.amtrak.com/stations/cvs,America/New_York,38.031484,-78.491684
CWH,CWH,Cornwells Heights Amtrak,https://www.amtrak.com/stations/cwh,America/New_York,40.071663,-74.952187
CWT,CWT,Chatsworth,https://www.amtrak.com/stations/cwt,America/Los_Angeles,34.253205,-118.599417
CYN,CYN,Cary,https://www.amtrak.com/stations/cyn,America/New_York,35.788294,-78.782246
DAL,DAL,Dallas,https://www.amtrak.com/stations/dal,America/Chicago,32.776094,-96.807235
DAN,DAN,Danville Amtrak Station,https://www.amtrak.com/stations/dan,America/New_York,36.58409,-79.383968
DAV,DAV,Davis,https://www.amtrak.com/stations/dav,America/Los_Angeles,38.543562,-121.737707
DBP,DBP,Dublin-Pleasanton Amtrak Station,https://www.amtrak.com/stations/dbp,America/Los_Angeles,37.702833,-121.897697
DDE,DDE,Dade City Amtrak Bus Stop,https://www.amtrak.com/stations/dde,America/New_York,28.364669,-82.184459
DDG,DDG,Dodge City Amtrak Station,https://www.amtrak.com/stations/ddg,America/Chicago,37.752306,-100.016961
DEM,DEM,Deming Amtrak,https://www.amtrak.com/stations/dem,America/Denver,32.27177,-107.754346
DEN,DEN,Denver,https://www.amtrak.com/stations/den,America/Denver,39.752959,-104.999929
DER,DER,Dearborn,https://www.amtrak.com/stations/der,America/New_York,42.307167,-83.235311
DET,DET,Detroit,https://www.amtrak.com/stations/det,America/New_York,42.368097,-83.072397
DFB,DFB,Deerfield Beach Amtrak Station,https://www.amtrak.com/stations/dfb,America/New_York,26.317069,-80.122147
DHM,DHM,Durham,https://www.amtrak.com/stations/dhm,America/New_York,43.139328,-70.936013
DIL,DIL,Dillon Amtrak Station,https://www.amtrak.com/stations/dil,America/New_York,34.417647,-79.372301
DLB,DLB,Delray Beach Amtrak,https://www.amtrak.com/stations/dlb,America/New_York,26.454021,-80.091154
DLD,DLD,Deland,https://www.amtrak.com/stations/dld,America/New_York,29.017849,-81.352477
DLK,DLK,Detroit Lakes Amtrak Station,https://www.amtrak.com/stations/dlk,America/Chicago,46.819692,-95.845998
DNC,DNC,Durham Amtrak Station,https://www.amtrak.com/stations/dnc,America/New_York,35.997347,-78.906299
DNK,DNK,Denmark Amtrak Station,https://www.amtrak.com/stations/dnk,America/New_York,33.326184,-81.143635
DOA,DOA,Dowagiac Amtrak Station,https://www.amtrak.com/stations/doa,America/New_York,41.980941,-86.109041
DOV,DOV,Dover,https://www.amtrak.com/stations/dov,America/New_York,43.197968,-70.878361
DOW,DOW,Downingtown Amtrak,https://www.amtrak.com/stations/dow,America/New_York,40.002193,-75.710775
DQN,DQN,Du Quoin Amtrak Station,https://www.amtrak.com/stations/dqn,America/Chicago,38.012328,-89.240254
DRD,DRD,Durand Amtrak Station,https://www.amtrak.com/stations/drd,America/New_York,42.909495,-83.98232
DRT,DRT,Del Rio Amtrak Station,https://www.amtrak.com/stations/drt,America/Chicago,29.362202,-100.902662
DUN,DUN,Dunsmuir Amtrak Station,https://www.amtrak.com/stations/dun,America/Los_Angeles,41.211127,-122.270587
