trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
195509,11:10:00,11:13:00,SPI,4,0,0,1
195509,12:12:00,12:14:00,ALN,5,0,0,1
195509,13:01:00,13:01:00,STL,6,0,0,1
207656,10:00:00,10:00:00,FNO,1,0,1,1
207656,10:50:00,10:50:00,HNF,2,0,0,1
207656,12:30:00,12:35:00,BFD,3,0,0,1
207656,14:45:00,14:45:00,LAX,4,1,0,1
211069,10:25:00,10:25:00,WAS,1,0,0,1
211069,10:36:00,10:36:00,NCR,2,0,0,1
211069,10:44:00,10:44:00,BWE,3,0,0,1
211069,10:50:00,10:50:00,OTN,4,0,0,1
211069,10:58:00,10:58:00,BWI,5,0,0,1
211069,11:03:00,11:03:00,HAE,6,0,0,1
211069,11:10:00,11:10:00,WBL,7,0,0,1
211069,11:24:00,11:24:00,BAL,8,0,0,1
211073,12:30:00,12:30:00,BAL,1,0,0,1
211073,12:37:00,12:37:00,WBL,2,0,0,1
211073,12:43:00,12:43:00,HAE,3,0,0,1
211073,12:50:00,12:50:00,BWI,4,0,0,1
211073,12:57:00,12:57:00,OTN,5,0,0,1
211073,13:03:00,13:03:00,BWE,6,0,0,1
211073,13:11:00,13:11:00,NCR,7,0,0,1
211073,13:30:00,13:30:00,WAS,8,0,0,1
211074,14:05:00,14:05:00,WAS,1,0,0,1
211074,14:16:00,14:16:00,NCR,2,0,0,1
211074,14:24:00,14:24:00,BWE,3,0,0,1
211074,14:30:00,14:30:00,OTN,4,0,0,1
211074,14:42:00,14:42:00,BWI,5,0,0,1
211074,14:48:00,14:48:00,HAE,6,0,0,1
211074,14:55:00,14:55:00,WBL,7,0,0,1
211074,15:11:00,15:11:00,BAL,8,0,0,1
211078,17:28:00,17:28:00,WAS,1,0,0,1
211078,17:39:00,17:39:00,NCR,2,0,0,1
211078,17:47:00,17:47:00,BWE,3,0,0,1
211078,17:53:00,17:53:00,OTN,4,0,0,1
211078,18:01:00,18:01:00,BWI,5,0,0,1
211078,18:07:00,18:07:00,HAE,6,0,0,1
211078,18:14:00,18:14:00,WBL,7,0,0,1
211078,18:23:00,18:25:00,BAL,8,0,0,1
211078,18:54:00,18:54:00,MSA,9,1,0,1
211081,19:25:00,19:25:00,WAS,1,0,0,1
211081,19:36:00,19:36:00,NCR,2,0,0,1
211081,19:44:00,19:44:00,BWE,3,0,0,1
211081,19:50:00,19:50:00,OTN,4,0,0,1
211081,20:00:00,20:00:00,BWI,5,0,0,1
211081,20:06:00,20:06:00,HAE,6,0,0,1
211081,20:13:00,20:13:00,WBL,7,0,0,1
211081,20:22:00,20:27:00,BAL,8,0,0,1
211081,20:57:00,20:57:00,MSA,9,1,0,1
218881,18:08:00,18:08:00,CHI,1,0,0,1
218881,18:31:00,18:32:00,GLN,2,0,0,1
218881,19:13:00,19:14:00,SVT,3,0,0,1
218881,19:27:00,19:28:00,MKA,4,0,0,1
218881,19:45:00,19:45:00,MKE,5,0,0,1
218898,16:15:00,16:15:00,CHI,1,0,0,1
218898,16:36:00,16:37:00,GLN,2,0,0,1
218898,17:14:00,17:15:00,SVT,3,0,0,1
218898,17:28:00,17:29:00,MKA,4,0,0,1
218898,17:44:00,17:44:00,MKE,5,0,0,1
218961,7:35:00,7:35:00,STL,1,0,0,1
218961,8:19:00,8:21:00,ALN,2,0,0,1
218961,8:46:00,8:46:00,CRV,3,0,0,1
