agency,service_name,route_name,train_number,direction,station_id,station_name,station_sequence,arrival_time,departure_time,service_start_date,service_end_date,service_dates,service_days,timetable_effective_date,timetable_last_updated_date,timetable_revision_date,source_original_filename,source_pdf,source_page,raw_notes
Amtrak,Amtrak connection,Amtrak connection,141,To New Haven,MDN,Meriden,6,05:18,05:18,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,141,To New Haven,WFD,Wallingford,7,05:26,05:26,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,141,To New Haven,STS,New Haven - State Street,8,05:39,05:39,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,141,To New Haven,NHV,New Haven - Union Station,9,05:42,05:42,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,141,From New Haven,NHV,New Haven Union Station,40,unknown,06:12,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection departure from New Haven toward Penn Station; arrival endpoint/time unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,148,To Hartford And Springfield,NHV,New Haven - Union Station,1,21:02,21:02,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,148,To Hartford And Springfield,STS,New Haven - State Street,2,21:03,21:03,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,148,To Hartford And Springfield,WFD,Wallingford,3,21:16,21:16,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,148,To Hartford And Springfield,MDN,Meriden,4,21:24,21:24,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,148,To Hartford And Springfield,BER,Berlin,5,21:34,21:34,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,148,To Hartford And Springfield,HFD,Hartford,6,21:50,21:50,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,148,To Hartford And Springfield,WND,Windsor,7,21:58,21:58,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,148,To Hartford And Springfield,WNL,Windsor Locks,8,22:08,22:08,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,148,To Hartford And Springfield,SPG,Springfield,9,22:37,22:37,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,148,To New Haven,NHV,New Haven Union Station,11,20:32,unknown,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection arrival at New Haven; opposite endpoint unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,170,To New Haven,NHV,New Haven Union Station,5,10:36,unknown,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection arrival at New Haven; opposite endpoint unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,171,From New Haven,NHV,New Haven Union Station,44,unknown,10:38,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection departure from New Haven toward Penn Station; arrival endpoint/time unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,173,From New Haven,NHV,New Haven Union Station,47,unknown,14:07,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection departure from New Haven toward Penn Station; arrival endpoint/time unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,174,To New Haven,NHV,New Haven Union Station,7,16:11,unknown,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection arrival at New Haven; opposite endpoint unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,175,From New Haven,NHV,New Haven Union Station,49,unknown,17:55,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection departure from New Haven toward Penn Station; arrival endpoint/time unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,175,From New Haven,NHV,New Haven Union Station,50,unknown,17:55,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection departure from New Haven toward Penn Station; arrival endpoint/time unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,177,From New Haven,NHV,New Haven Union Station,51,unknown,20:13,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection departure from New Haven toward Penn Station; arrival endpoint/time unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,178,To New Haven,NHV,New Haven Union Station,12,21:40,unknown,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection arrival at New Haven; opposite endpoint unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,184,To New Haven,NHV,New Haven Union Station,9,19:01,unknown,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection arrival at New Haven; opposite endpoint unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,190,To New Haven,NHV,New Haven Union Station,3,09:32,unknown,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection arrival at New Haven; opposite endpoint unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,190,To New Haven,NHV,New Haven Union Station,4,09:32,unknown,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection arrival at New Haven; opposite endpoint unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,417,To New Haven,SPG,Springfield,1,18:40,18:40,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,417,To New Haven,WNL,Windsor Locks,2,18:58,18:58,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,417,To New Haven,WND,Windsor,3,19:04,19:04,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,417,To New Haven,HFD,Hartford,4,19:15,19:15,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,417,To New Haven,BER,Berlin,5,19:25,19:25,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,417,To New Haven,MDN,Meriden,6,19:34,19:34,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,417,To New Haven,WFD,Wallingford,7,19:42,19:42,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
